#             DoY                    QA                VIS                   NIR                 VIS_UNC             NIR_UNC

             1.00000              0.00000             -6.17455             -6.17455              0.00250              0.00250
             9.00000              0.00000             -6.17455             -6.17455              0.00250              0.00250
            17.00000              0.00000             -6.17455             -6.17455              0.00250              0.00250
            25.00000              0.00000             -6.17455             -6.17455              0.00250              0.00250
            33.00000              0.00000             -6.17455             -6.17455              0.00250              0.00250
            41.00000              0.00000             -6.17455             -6.17455              0.00250              0.00250
            49.00000              0.00000             -6.17455             -6.17455              0.00250              0.00250
            57.00000              0.00000             -6.17455             -6.17455              0.00250              0.00250
            65.00000              0.00000             -6.17455             -6.17455              0.00250              0.00250
            73.00000              0.00000              0.03747              0.17464              0.00749              0.03493
            81.00000              0.00000              0.03866              0.18221              0.00773              0.03644
            81.00000              0.00000              0.03866              0.18221              0.00773              0.03644
            89.00000              0.00000              0.03985              0.19077              0.00797              0.03815
            97.00000              1.00000              0.03890              0.17415              0.00778              0.03483
           105.00000              1.00000              0.04009              0.18082              0.00802              0.03616
           113.00000              1.00000              0.03455              0.19175              0.00691              0.03835
           121.00000              1.00000              0.03369              0.19128              0.00674              0.03826
           129.00000              1.00000              0.03428              0.19568              0.00686              0.03914
           137.00000              1.00000              0.03549              0.20108              0.00710              0.04022
           145.00000              0.00000              0.03028              0.27240              0.00606              0.05448
           153.00000              1.00000              0.03230              0.27611              0.00646              0.05522
           161.00000              0.00000              0.02609              0.29292              0.00522              0.05858
           161.00000              0.00000              0.02609              0.29292              0.00522              0.05858
           169.00000              0.00000              0.02181              0.28598              0.00436              0.05720
           177.00000              0.00000              0.02708              0.28831              0.00542              0.05766
           185.00000              1.00000              0.04097              0.28067              0.00819              0.05613
           193.00000              1.00000              0.04832              0.27569              0.00966              0.05514
           201.00000              1.00000              0.03200              0.24882              0.00640              0.04976
           209.00000              1.00000              0.01892              0.25188              0.00378              0.05038
           217.00000              0.00000              0.02171              0.28197              0.00434              0.05639
           225.00000              1.00000              0.03508              0.25910              0.00702              0.05182
           233.00000              1.00000              0.03467              0.26145              0.00693              0.05229
           241.00000              1.00000              0.02633              0.23617              0.00527              0.04723
           241.00000              1.00000              0.02633              0.23617              0.00527              0.04723
           249.00000              1.00000              0.02503              0.24626              0.00501              0.04925
           257.00000              0.00000              0.02182              0.25600              0.00436              0.05120
           265.00000              0.00000              0.03195              0.24324              0.00639              0.04865
           273.00000              0.00000              0.03187              0.22681              0.00637              0.04536
           281.00000              1.00000              0.03047              0.19524              0.00609              0.03905
           289.00000              1.00000              0.03633              0.17274              0.00727              0.03455
           297.00000              1.00000              0.03164              0.17747              0.00633              0.03549
           305.00000              1.00000              0.02804              0.16477              0.00561              0.03295
           313.00000              1.00000              0.02611              0.15703              0.00522              0.03141
           321.00000              1.00000              0.02595              0.14789              0.00519              0.02958
           321.00000              1.00000              0.02595              0.14789              0.00519              0.02958
           329.00000              0.00000              0.02790              0.14313              0.00558              0.02863
           337.00000              0.00000              0.03228              0.16288              0.00646              0.03258
           345.00000              0.00000             -6.17455             -6.17455              0.00250              0.00250
           353.00000              0.00000              0.03347              0.15631              0.00669              0.03126
           361.00000              0.00000              0.03347              0.15631              0.00669              0.03126
